filename,cloud_cover,clear_pixel_count_pt,count_orbit_pixels_pt,cloud_cover_pt
S2A_MSIL2A_20231031T112211_N0510_R037_T29SMD_20241107T213300,88.134563,---,---,---
S2A_MSIL2A_20231103T113321_N0510_R080_T29SMD_20241108T160418,51.196223,---,---,---
S2B_MSIL2A_20231105T112149_N0510_R037_T29SMD_20241110T045512,36.208719,---,---,---
S2B_MSIL2A_20231108T113319_N0510_R080_T29SMD_20241111T194428,99.616754,---,---,---
S2A_MSIL2A_20231110T112311_N0510_R037_T29SMD_20241109T104109,32.661119,---,---,---
S2A_MSIL2A_20231113T113321_N0510_R080_T29SMD_20241107T042303,29.198277,---,---,---
S2B_MSIL2A_20231115T112239_N0509_R037_T29SMD_20231115T130146,77.197361,---,---,---
S2B_MSIL2A_20231118T113319_N0510_R080_T29SMD_20241109T071608,99.829674,---,---,---
S2A_MSIL2A_20231120T112351_N0510_R037_T29SMD_20241109T020723,60.565686,---,---,---
S2A_MSIL2A_20231123T113401_N0510_R080_T29SMD_20241108T152245,3.284437,40987150,40987304,0
S2B_MSIL2A_20231125T112309_N0510_R037_T29SMD_20241028T215307,19.599874,19429920,43042870,55
S2B_MSIL2A_20231128T113329_N0510_R080_T29SMD_20241111T145001,90.181994,---,---,---
S2A_MSIL2A_20231130T112421_N0510_R037_T29SMD_20241111T005240,99.312025,---,---,---
S2A_MSIL2A_20231203T113431_N0511_R080_T29SMD_20250807T021715,97.955549,---,---,---
S2B_MSIL2A_20231205T112429_N0510_R037_T29SMD_20241031T122121,99.99969,---,---,---
S2B_MSIL2A_20231208T113359_N0510_R080_T29SMD_20241031T233411,97.227252,---,---,---
S2A_MSIL2A_20231210T112451_N0510_R037_T29SMD_20241103T132458,96.773821,---,---,---
S2A_MSIL2A_20231213T113451_N0510_R080_T29SMD_20231213T155450,19.734278,19876110,41084249,52
S2B_MSIL2A_20231215T112359_N0510_R037_T29SMD_20231215T130705,50.00692,38606721,42427020,9
S2B_MSIL2A_20231218T113409_N0510_R080_T29SMD_20231218T130214,0.300828,40724373,40727728,0
S2A_MSIL2A_20231220T112501_N0510_R037_T29SMD_20231220T194553,56.318128,21225242,42427020,50
S2A_MSIL2A_20231223T113501_N0510_R080_T29SMD_20231223T153348,0.002808,40968550,40969836,0
S2B_MSIL2A_20231225T112409_N0510_R037_T29SMD_20231225T130129,95.230371,---,---,---
S2B_MSIL2A_20231228T113409_N0510_R080_T29SMD_20231228T131222,98.653948,---,---,---
S2A_MSIL2A_20231230T112501_N0510_R037_T29SMD_20231230T153151,73.687857,---,---,---
S2A_MSIL2A_20240102T113501_N0510_R080_T29SMD_20240102T153549,95.873046,---,---,---
S2B_MSIL2A_20240104T112359_N0510_R037_T29SMD_20240104T130008,94.381243,---,---,---
S2B_MSIL2A_20240107T113349_N0510_R080_T29SMD_20240107T125109,8.480628,38139831,40723299,6
S2A_MSIL2A_20240109T112441_N0510_R037_T29SMD_20240109T154253,95.882368,---,---,---
S2A_MSIL2A_20240112T113431_N0510_R080_T29SMD_20240112T154153,69.257116,---,---,---
S2B_MSIL2A_20240114T112329_N0510_R037_T29SMD_20240114T160810,97.371674,---,---,---
S2B_MSIL2A_20240117T113329_N0510_R080_T29SMD_20240117T130100,31.047976,---,---,---
